1.250000000000000000e+02,
1.242106633090286749e+02,
1.234213757986363191e+02,
1.226321866463376011e+02,
1.218431450235189573e+02,
1.210543000923747314e+02,
1.202657010028441960e+02,
1.194773968895491976e+02,
1.186894368687326420e+02,
1.179018700351984279e+02,
1.171147454592523616e+02,
1.163281121836449472e+02,
1.155420192205155132e+02,
1.147565155483386690e+02,
1.139716501088725096e+02,
1.131874718041092081e+02,
1.124040294932282364e+02,
1.116213719895521024e+02,
1.108395480575048424e+02,
1.100586064095739118e+02,
1.092785957032749309e+02,
1.084995645381200973e+02,
1.077215614525900520e+02,
1.069446349211097811e+02,
1.061688333510282263e+02,
1.053942050796022016e+02,
1.046207983709847866e+02,
1.038486614132181103e+02,
1.030778423152308676e+02,
1.023083891038409945e+02,
1.015403497207631318e+02,
1.007737720196217026e+02,
1.000087037629691622e+02,
9.924519261931033043e+01,
9.848328616013213832e+01,
9.772303185693968430e+01,
9.696447707829855744e+01,
9.620766908688335661e+01,
9.545265503653301664e+01,
9.469948196931274254e+01,
9.394819681258312016e+01,
9.319884637607619027e+01,
9.245147734897884106e+01,
9.170613629702387470e+01,
9.096286965958873338e+01,
9.022172374680175722e+01,
8.948274473665716755e+01,
8.874597867213756786e+01,
8.801147145834534058e+01,
8.727926885964240000e+01,
8.654941649679891214e+01,
8.582195984415069745e+01,
8.509694422676591330e+01,
8.437441481762110129e+01,
8.365441663478659962e+01,
8.293699453862160453e+01,
8.222219322897902316e+01,
8.151005724242070016e+01,
8.080063094944210889e+01,
8.009395855170801326e+01,
7.939008407929840416e+01,
7.868905138796523602e+01,
7.799090415639972207e+01,
7.729568588351102676e+01,
7.660343988571612783e+01,
7.591420929424064923e+01,
7.522803705243168793e+01,
7.454496591308226527e+01,
7.386503843576734596e+01,
7.318829698419224883e+01,
7.251478372355316537e+01,
7.184454061790987112e+01,
7.117760942757112730e+01,
7.051403170649294339e+01,
6.985384879968924565e+01,
6.919710184065598924e+01,
6.854383174880821628e+01,
6.789407922693052910e+01,
6.724788475864114901e+01,
6.660528860586939004e+01,
6.596633080634714474e+01,
6.533105117111441018e+01,
6.469948928203855587e+01,
6.407168448934831417e+01,
6.344767590918208100e+01,
6.282750242115049133e+01,
6.221120266591414349e+01,
6.159881504277613118e+01,
6.099037770728928365e+01,
6.038592856887900950e+01,
5.978550528848133183e+01,
5.918914527619624266e+01,
5.859688568895688832e+01,
5.800876342821450748e+01,
5.742481513763912915e+01,
5.684507720083662718e+01,
5.626958573908159167e+01,
5.569837660906682686e+01,
5.513148540066936221e+01,
5.456894743473279163e+01,
5.401079776086670847e+01,
5.345707115526288078e+01,
5.290780211852838022e+01,
5.236302487353606239e+01,
5.182277336329232753e+01,
5.128708124882210484e+01,
5.075598190707168555e+01,
5.022950842882907807e+01,
4.970769361666231134e+01,
4.919056998287545923e+01,
4.867816974748315317e+01,
4.817052483620292946e+01,
4.766766687846610751e+01,
4.716962720544702847e+01,
4.667643684811095284e+01,
4.618812653528077306e+01,
4.570472669172215774e+01,
4.522626743624806522e+01,
4.475277857984221441e+01,
4.428428962380147027e+01,
4.382082975789791135e+01,
4.336242785856009618e+01,
4.290911248707375591e+01,
4.246091188780238213e+01,
4.201785398642742564e+01,
4.157996638820826263e+01,
4.114727637626225487e+01,
4.071981090986496099e+01,
4.029759662277011500e+01,
3.988065982155052325e+01,
3.946902648395882807e+01,
3.906272225730880621e+01,
3.866177245687767083e+01,
3.826620206432855298e+01,
3.787603572615404346e+01,
3.749129775214063898e+01,
3.711201211385397869e+01,
3.673820244314531180e+01,
3.636989203067913934e+01,
3.600710382448197322e+01,
3.564986042851259640e+01,
3.529818410125365347e+01,
3.495209675432484175e+01,
3.461161995111764611e+01,
3.427677490545187311e+01,
3.394758248025378577e+01,
3.362406318625632196e+01,
3.330623718072114059e+01,
3.299412426618255267e+01,
3.268774388921393381e+01,
3.238711513921589358e+01,
3.209225674722694066e+01,
3.180318708475653011e+01,
3.151992416264018004e+01,
3.124248562991749623e+01,
3.097088877273245089e+01,
3.070515051325629940e+01,
3.044528740863329119e+01,
3.019131564994904693e+01,
2.994325106122171576e+01,
2.970110909841606883e+01,
2.946490484848052915e+01,
2.923465302840705249e+01,
2.901036798431428565e+01,
2.879206369055373216e+01,
2.857975374883882580e+01,
2.837345138739780737e+01,
2.817316946014928192e+01,
2.797892044590138028e+01,
2.779071644757429738e+01,
2.760856919144623589e+01,
2.743249002642264145e+01,
2.726248992332928367e+01,
2.709857947422855773e+01,
2.694076889175958911e+01,
2.678906800850195680e+01,
2.664348627636302069e+01,
2.650403276598895275e+01,
2.637071616619972758e+01,
2.624354478344763208e+01,
2.612252654129973450e+01,
2.600766897994428462e+01,
2.589897925572078918e+01,
2.579646414067421745e+01,
2.570013002213303821e+01,
2.560998290231123065e+01,
2.552602839793431144e+01,
2.544827173988942093e+01,
2.537671777289932606e+01,
2.531137095522068137e+01,
2.525223535836612143e+01,
2.519931466685065402e+01,
2.515261217796211213e+01,
2.511213080155563659e+01,
2.507787305987243087e+01,
2.504984108738261739e+01,
2.502803663065220974e+01,
2.501246104823427174e+01,
2.500311531058436287e+01,
2.500000000000000000e+01,
2.500000000000000711e+01,
2.578933669097134285e+01,
2.657862420136369863e+01,
2.736781335366240953e+01,
2.815685497648104985e+01,
2.894569990762528278e+01,
2.973429899715581470e+01,
3.052260311045081664e+01,
3.131056313126737578e+01,
3.209812996480158631e+01,
3.288525454074765264e+01,
3.367188781635507411e+01,
3.445798077948450100e+01,
3.524348445166134525e+01,
3.602834989112750463e+01,
3.681252819589080616e+01,
3.759597050677177066e+01,
3.837862801044791183e+01,
3.916045194249517181e+01,
3.994139359042609527e+01,
4.072140429672508333e+01,
4.150043546187992405e+01,
4.227843854740996221e+01,
4.305536507889023312e+01,
4.383116664897178794e+01,
4.460579492039781258e+01,
4.537920162901522758e+01,
4.615133858678190393e+01,
4.692215768476914661e+01,
4.769161089615901972e+01,
4.845965027923688240e+01,
4.922622798037831870e+01,
4.999129623703083780e+01,
5.075480738068968378e+01,
5.151671383986786878e+01,
5.227696814306031570e+01,
5.303552292170145677e+01,
5.379233091311665760e+01,
5.454734496346699757e+01,
5.530051803068727168e+01,
5.605180318741689405e+01,
5.680115362392382394e+01,
5.754852265102118025e+01,
5.829386370297612530e+01,
5.903713034041128793e+01,
5.977827625319824989e+01,
6.051725526334283956e+01,
6.125402132786245346e+01,
6.198852854165468074e+01,
6.272073114035760710e+01,
6.345058350320109497e+01,
6.417804015584931676e+01,
6.490305577323410091e+01,
6.562558518237891292e+01,
6.634558336521341460e+01,
6.706300546137843810e+01,
